,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"164,622,482","+345,560","3,411,065","+6,937","144,706,048","+521,502","16,505,369","101,162","21,120",437.6,,,,All,"
",,,,,
83,83,Myanmar,"143,097",,"3,213 ",,"132,123",,"7,761",,"2,615",59,"2,603,024","47,562","54,728,958 ",Asia,382,"17,034",21,,,142
84,84,S. Korea,"132,818",+528,"1,904 ",+1,"122,631",+468,"8,283",156,"2,589",37,"9,395,004","183,110","51,307,858 ",Asia,386,"26,947",5,10,0.02,161
85,85,Albania,"132,032",,"2,435 ",,"125,419",,"4,178",18,"45,924",847,"677,041","235,489","2,875,041 ",Europe,22,"1,181",4,,,"1,453"
86,86,Latvia,"128,688",+563,"2,280 ",+11,"117,799",,"8,609",71,"68,896","1,221","2,513,111","1,345,446","1,867,864 ",Europe,15,819,1,301,6,"4,609"
87,87,Estonia,"127,500",+295,"1,229 ",+6,"119,428",+656,"6,843",32,"96,058",926,"1,368,541","1,031,058","1,327,317 ",Europe,10,"1,080",1,222,5,"5,156"
88,88,Cuba,"126,755","+1,244",826 ,+12,"119,161","+1,412","6,768",130,"11,197",73,"4,037,878","356,686","11,320,554 ",North America,89,"13,705",3,110,1,598
89,89,Algeria,"125,485",,"3,381 ",,"87,476",,"34,628",28,"2,817",76,"230,861","5,183","44,541,312 ",Africa,355,"13,174",193,,,777
90,90,Norway,"119,668",+168,774 ,,"88,952",,"29,942",22,"21,924",142,"5,507,549","1,009,019","5,458,320 ",Europe,46,"7,052",1,31,,"5,486"
91,91,Thailand,"113,555","+2,473",649 ,+35,"69,918","+2,718","42,988","1,228","1,623",9,"8,124,896","116,147","69,953,419 ",Asia,616,"107,786",9,35,0.5,615
92,92,Kyrgyzstan,"100,966",+234,"1,718 ",+7,"94,168",+282,"5,080",86,"15,256",260,"1,065,529","161,003","6,618,078 ",Asia,66,"3,852",6,35,1,768
93,93,Montenegro,"98,971",+73,"1,564 ",+2,"96,097",+98,"1,310",60,"157,563","2,490","397,322","632,541","628,136 ",Europe,6,402,2,116,3,"2,086"
94,94,Uzbekistan,"97,068",+175,672 ,+2,"92,582",+279,"3,814",23,"2,864",20,"1,377,915","40,655","33,892,564 ",Asia,349,"50,435",25,5,0.06,113
95,95,Ghana,"93,333",,783 ,,"91,252",,"1,298",8,"2,950",25,"1,123,985","35,527","31,637,796 ",Africa,339,"40,406",28,,,41
96,96,Zambia,"92,460",,"1,261 ",,"90,862",,337,40,"4,910",67,"1,474,620","78,307","18,831,181 ",Africa,204,"14,934",13,,,18
97,97,Finland,"90,398",+149,929 ,,"46,000",,"43,469",25,"16,293",167,"4,794,557","864,155","5,548,263 ",Europe,61,"5,972",1,27,,"7,835"
98,98,Cameroon,"74,946",,"1,152 ",,"70,497",,"3,297",385,"2,763",42,"1,518,411","55,988","27,120,494 ",Africa,362,"23,542",18,,,122
99,99,El Salvador,"71,479",,"2,195 ",+4,"66,903",,"2,381",22,"10,972",337,"956,458","146,812","6,514,856 ",North America,91,"2,968",7,,0.6,365
100,100,Cyprus,"71,231",,347 ,,"39,061",,"31,823",46,"58,624",286,"5,943,360","4,891,461","1,215,048 ",Asia,17,"3,502",0,,,"26,191"
101,101,Mozambique,"70,463",,828 ,,"68,731",,904,21,"2,201",26,"537,525","16,789","32,016,074 ",Africa,454,"38,667",60,,,28
102,102,Luxembourg,"69,239",+174,808 ,,"66,619",+436,"1,812",30,"109,062","1,273","2,787,646","4,390,955","634,861 ",Europe,9,786,0,274,,"2,854"
103,103,Afghanistan,"64,122",+303,"2,762 ",+11,"55,118",+108,"6,242","1,124","1,616",70,"434,506","10,947","39,691,394 ",Asia,619,"14,371",91,8,0.3,157
104,104,Singapore,"61,651",+38,31 ,,"61,134",+11,486,5,"10,466",5,"11,064,019","1,878,254","5,890,587 ",Asia,96,"190,019",1,6,,83
105,105,Namibia,"51,390",,723 ,,"48,355",,"2,312",66,"19,911",280,"411,483","159,427","2,581,017 ",Africa,50,"3,570",6,,,896
106,106,Botswana,"50,800",,774 ,,"47,477",,"2,549",1,"21,229",323,"1,105,082","461,800","2,392,987 ",Africa,47,"3,092",2,,,"1,065"
107,107,Mongolia,"49,524",+349,221 ,+7,"42,721",+877,"6,582",103,"14,897",66,"2,840,929","854,584","3,324,342 ",Asia,67,"15,042",1,105,2,"1,980"
108,108,Jamaica,"47,396",,863 ,,"23,281",,"23,252",23,"15,945",290,"355,604","119,632","2,972,484 ",North America,63,"3,444",8,,,"7,822"
