,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
113,Senegal,40896,24,1128,1,39614,154,9,2387,66,500044,29191,17129853,Africa
114,Madagascar,40326,122,774,3,38166,1386,245,1424,27,196451,6938,28313799,Africa
115,Zimbabwe,38595,23,1583,1,36371,641,12,2564,105,449945,29891,15052944,Europe
116,Sudan,34272,0,2446,0,27949,3877,0,766,55,232965,5206,44745683,Australia/Oceania
117,Malawi,34231,15,1153,0,32246,832,11,1750,59,239715,12254,19562387,Africa
118,Angola,31045,258,685,8,26013,4347,19,920,20,531492,15744,33758950,Asia
119,DRC,30620,11,776,0,26603,3241,0,333,8,155600,1692,91939459,Asia
120,Malta,30486,2,417,0,29941,128,0,68882,942,900491,2034640,442580,Africa
121,Australia,29988,10,910,0,28952,126,1,1164,35,17620395,684022,25759982,Africa
122,Cabo Verde,28410,129,252,1,25581,2577,23,50615,449,158645,282640,561297,Africa
123,Rwanda,26344,129,346,1,24808,1190,2,1991,26,1380803,104344,13233195,Africa
124,Gabon,23909,0,145,0,20556,3208,16,10525,64,772653,340119,2271714,Asia
125,Syria,23830,42,1710,5,21360,760,0,1333,96,103566,5795,17872769,Africa
126,Réunion,23566,922,176,7,21709,1681,31,26157,195,102720,114015,900937,Africa
127,Cambodia,22889,345,156,2,14343,8390,0,1353,9,1079873,63814,16922225,Africa
128,Guinea,22853,23,153,1,20476,2224,24,1700,11,446006,33174,13444275,Australia/Oceania
129,French Guiana,22115,270,110,1,9995,12010,26,72400,360,240988,788950,305454,Africa
130,Mayotte,20176,0,171,0,2964,17041,6,72425,614,176919,635081,278577,South America
131,Mauritania,18905,47,457,0,18163,285,14,3975,96,251750,52927,4756557,Africa
132,French Polynesia,18828,12,141,0,18658,29,1,66686,499,26355,93346,282338,Africa
133,Eswatini,18525,2,672,0,17806,47,3,15823,574,202106,172633,1170728,Africa
134,Trinidad and Tobago,17150,601,317,23,10515,6318,15,12220,226,159982,113989,1403482,Africa
135,Guadeloupe,16017,0,221,0,2242,13554,33,40024,552,195404,488285,400184,North America
136,Guyana,15454,102,345,1,13252,1857,14,19565,437,139212,176241,789896,Europe
137,Somalia,14575,89,762,9,6579,7234,0,895,47,123568,7590,16280830,North America
138,Mali,14207,13,511,0,9309,4387,0,684,25,285361,13745,20760551,Africa
139,Papua New Guinea,14205,277,136,0,11336,2733,0,1562,15,110286,12125,9095647,North America
140,Andorra,13569,14,127,0,13234,208,12,175369,1641,193595,2502068,77374,South America
141,Haiti,13520,60,274,3,12437,809,0,1173,24,60085,5214,11524703,North America
142,Burkina Faso,13404,7,165,1,13210,29,0,626,8,184433,8617,21404414,Asia
143,Tajikistan,13308,0,90,0,13218,0,0,1368,9,0,0,9725272,Africa
144,Togo,13286,7,125,0,11950,1211,0,1573,15,324533,38413,8448606,North America
145,Belize,12745,3,323,0,12342,80,1,31550,800,126706,313660,403960,Africa
146,Curaçao,12257,1,120,0,12077,60,18,74427,729,104714,635848,164684,Africa
147,Suriname,12251,144,238,8,10432,1581,28,20720,403,56548,95640,591257,North America
148,Martinique,11866,130,93,3,98,11675,10,31642,248,174717,465902,375008,Australia/Oceania
149,Hong Kong,11827,1,210,0,11535,82,2,1566,28,14841321,1965605,7550510,Africa
150,Djibouti,11455,17,151,0,11280,24,0,11448,151,154702,154606,1000618,North America
151,Congo,11343,0,148,0,8208,2987,0,2012,26,141948,25182,5636956,South America
152,Bahamas,11278,53,221,0,10121,936,8,28440,557,93155,234914,396549,North America
153,Aruba,10869,12,105,0,10685,79,14,101423,980,158942,1483152,107165,Asia
154,Lesotho,10795,5,320,0,6427,4048,0,5004,148,89448,41465,2157196,Africa
155,South Sudan,10652,0,115,0,10462,75,0,942,10,159088,14067,11309091,Africa
156,Seychelles,9764,0,35,0,7826,1903,0,98743,354,21504,217469,98883,North America
157,Benin,8025,30,101,0,7893,31,35,647,8,604310,48731,12400949,Europe
158,Equatorial Guinea,7694,0,112,0,7279,303,7,5331,78,123169,85344,1443206,Africa
159,Nicaragua,7193,107,185,1,4225,2783,0,1075,28,0,0,6693835,Asia
160,CAR,7010,144,96,1,5112,1802,2,1430,20,40907,8343,4903446,Africa
161,Yemen,6586,18,1297,3,3072,2217,23,217,43,43192,1421,30401395,Africa
162,Iceland,6549,1,29,0,6462,58,55,19083,85,633116,1844781,343193,Europe
163,Gambia,5957,0,175,0,5701,81,3,2406,71,76379,30848,2476013,Africa
164,Niger,5348,9,192,0,4995,161,2,214,8,103507,4145,24970329,Africa
165,San Marino,5087,0,90,0,4974,23,4,149644,2648,64241,1889775,33994,North America
166,Chad,4905,1,173,0,4704,28,0,291,10,117126,6956,16837771,Europe
167,Saint Lucia,4871,53,77,1,4577,217,2,26420,418,43436,235597,184366,Europe
168,Timor-Leste,4771,182,10,0,2519,2242,0,3559,7,85558,63827,1340465,Africa
169,Vietnam,4512,153,37,0,2687,1788,0,46,4,3091540,31511,98109148,Africa
170,Burundi,4353,6,6,0,773,3574,0,357,5,279132,22879,12200151,North America
171,Gibraltar,4286,0,94,0,4192,0,0,127249,2791,245473,7287958,33682,Africa
172,Sierra Leone,4107,0,79,0,3104,924,0,506,10,153257,18876,8119169,Africa
173,Channel Islands,4059,0,86,0,3956,17,0,23158,491,454413,2592601,175273,Africa
174,Barbados,3972,4,47,1,3922,3,0,13807,163,163512,568372,287685,Europe
175,Eritrea,3879,11,14,0,3700,165,0,1081,4,23693,6601,3589539,Asia
176,Comoros,3864,0,146,0,3708,10,0,4362,165,0,0,885832,Australia/Oceania
177,Guinea-Bissau,3746,0,67,0,3438,241,9,1865,33,65627,32671,2008723,Europe
178,Liechtenstein,2992,2,58,0,2905,29,3,78275,1517,39109,1023153,38224,North America
179,New Zealand,2653,2,26,0,2608,19,0,530,5,2085298,416885,5002100,Africa
180,Monaco,2497,3,32,0,2447,18,1,63236,810,51953,1315699,39487,North America
181,Bermuda,2479,2,32,0,2311,136,7,39936,516,257772,4152590,62075,North America
182,Turks and Caicos,2404,0,17,0,2365,22,2,61363,434,65926,1682773,39177,Africa
183,Sao Tome and Principe,2332,3,35,0,2277,20,0,10470,157,13418,60244,222728,North America
184,Sint Maarten,2307,15,27,0,2231,49,2,53275,623,28642,661417,43304,North America
185,Taiwan,2258,243,14,2,1127,1117,0,95,6,610865,25608,23854782,Europe
186,Liberia,2131,2,85,0,2016,30,2,413,16,101625,19688,5161759,North America
187,St. Vincent Grenadines,1947,0,12,0,1774,161,2,17501,108,47280,424985,111251,Asia
188,Saint Martin,1773,0,12,0,1399,362,7,45178,306,27588,702969,39245,North America
189,Laos,1687,49,2,0,686,999,0,229,3,223820,30376,7368283,Africa
190,Caribbean Netherlands,1604,5,17,0,1569,18,0,60673,643,8550,323410,26437,Asia
191,Isle of Man,1591,0,29,0,1558,4,1,18624,339,44761,523956,85429,Asia
192,Bhutan,1309,13,1,0,1186,122,0,1680,1,749679,962263,779079,North America
193,Mauritius,1288,1,17,0,1145,126,0,1011,13,358675,281617,1273629,Europe
194,Antigua and Barbuda,1251,0,42,0,1182,27,4,12682,426,16700,169297,98643,North America
195,St. Barth,974,0,1,0,462,511,0,98344,101,26385,2664075,9904,Africa
196,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,Australia/Oceania
197,Faeroe Islands,670,0,1,0,667,2,0,13666,20,260878,5321109,49027,Asia
198,Cayman Islands,565,0,2,0,547,16,0,8509,30,93583,1409383,66400,North America
199,Tanzania,509,0,21,0,183,305,7,8,3,0,0,61221230,North America
200,Wallis and Futuna,445,0,7,0,436,2,1,40217,633,17264,1560235,11065,North America
201,British Virgin Islands,248,0,1,0,209,38,0,8156,33,39777,1308110,30408,Australia/Oceania
202,Brunei,235,3,3,0,222,10,0,533,7,123643,280265,441164,Asia
203,Dominica,184,6,0,0,176,8,0,2550,0,16134,223636,72144,Australia/Oceania
204,Fiji,178,4,4,0,119,55,0,197,4,73292,81240,902163,South America
205,Grenada,161,0,1,0,160,0,0,1425,9,28684,253881,112982,Asia
206,New Caledonia,125,1,0,0,58,67,0,434,0,32332,112298,287912,North America
207,Anguilla,109,0,0,0,95,14,0,7209,0,21728,1436942,15121,Europe
208,Falkland Islands,63,0,0,0,63,0,0,17652,0,7258,2033623,3569,North America
209,Macao,50,0,0,0,49,1,0,76,0,4483,6822,657111,Australia/Oceania
210,Saint Kitts and Nevis,45,0,0,0,45,0,0,841,0,14008,261685,53530,Africa
211,Greenland,31,0,0,0,31,0,0,545,0,20669,363526,56857,Australia/Oceania
212,Vatican City,27,0,0,0,27,0,0,33624,0,0,0,803,Australia/Oceania
213,Saint Pierre Miquelon,25,0,0,0,25,0,0,4334,0,5318,921824,5769,Asia
214,Montserrat,20,0,1,0,19,0,0,4004,200,1408,281882,4995,Asia
215,Solomon Islands,20,0,0,0,20,0,0,29,0,4500,6414,701626,Ship
216,Western Sahara,10,0,1,0,8,1,0,16,2,0,0,610192,North America
217,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,Ship
218,Vanuatu,4,0,1,0,3,0,0,13,3,23000,73382,313429,North America
219,Marshall Islands,4,0,0,0,4,0,0,67,0,0,0,59542,North America
220,Samoa,3,0,0,0,3,0,0,15,0,0,0,199575,Australia/Oceania
221,Saint Helena,2,0,0,0,2,0,0,328,0,0,0,6093,Australia/Oceania
222,Micronesia,1,0,0,0,1,0,0,9,0,0,0,116083,Ship
