,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"161,472,416","+395,655","3,351,188","+6,379","140,292,568","+443,298","17,828,660","104,635","20,715",429.9,,,,All,"
",,,,,
107,107,Mongolia,"47,033",+585,193 ,+9,"37,281","+1,548","9,559",110,"14,151",58,"2,808,208","844,924","3,323,621 ",Asia,71,"17,221",1,176,3,"2,876"
108,108,Jamaica,"46,922",,820 ,,"22,636",,"23,466",14,"15,786",276,"348,636","117,295","2,972,308 ",North America,63,"3,625",9,,,"7,895"
109,109,Ivory Coast,"46,516",,292 ,,"45,942",,282,,"1,727",11,"608,960","22,607","26,937,384 ",Africa,579,"92,251",44,,,10
110,110,Uganda,"42,487",,346 ,,"41,971",,170,24,904,7,"1,047,226","22,294","46,974,338 ",Africa,"1,106","135,764",45,,,4
111,111,Senegal,"40,762",,"1,121 ",,"39,460",,181,12,"2,381",65,"493,457","28,821","17,121,385 ",Africa,420,"15,273",35,,,11
112,112,Maldives,"40,092",,87 ,,"27,123",,"12,882",90,"73,065",159,"778,634","1,419,016","548,714 ",Asia,14,"6,307",1,,,"23,477"
113,113,Madagascar,"39,759",+249,745 ,+7,"37,150",+269,"1,864",302,"1,405",26,"194,234","6,863","28,300,139 ",Africa,712,"37,987",146,9,0.2,66
114,114,Zimbabwe,"38,466",,"1,579 ",,"36,277",,610,12,"2,556",105,"438,833","29,161","15,048,804 ",Africa,391,"9,531",34,,,41
115,115,Sudan,"34,272",,"2,446 ",,"27,949",,"3,877",,766,55,"232,965","5,209","44,726,050 ",Africa,"1,305","18,285",192,,,87
116,116,Malawi,"34,183",,"1,153 ",,"32,170",,860,11,"1,748",59,"236,897","12,116","19,552,902 ",Africa,572,"16,958",83,,,44
117,117,Malta,"30,473",+4,417 ,,"29,867",+7,189,,"68,857",942,"891,075","2,013,469","442,557 ",Europe,15,"1,061",0,9,,427
118,118,DRC,"30,429",,775 ,,"26,541",,"3,113",,331,8,"154,866","1,685","91,887,149 ",Africa,"3,020","118,564",593,,,34
119,119,Australia,"29,950",+3,910 ,,"28,861",,179,1,"1,163",35,"17,384,804","675,025","25,754,325 ",Australia/Oceania,860,"28,301",1,0.1,,7
120,120,Angola,"29,405",,645 ,,"25,187",,"3,573",21,872,19,"527,590","15,637","33,739,304 ",Africa,"1,147","52,309",64,,,106
121,121,Cabo Verde,"27,029",,238 ,,"23,925",,"2,866",23,"48,164",424,"158,645","282,698","561,182 ",Africa,21,"2,358",4,,,"5,107"
122,122,Rwanda,"25,846",,340 ,,"24,411",,"1,095",1,"1,954",26,"1,354,868","102,432","13,227,036 ",Africa,512,"38,903",10,,,83
