,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"144,133,088","+588,907","3,064,673","+7,692","122,586,006","+432,002","18,482,409","109,445","18,491",393.2,,,,All,"
",,
162,163,San Marino,"5,044",+3,88 ,,"4,794",+37,162,4,"148,405","2,589","59,151","1,740,350","33,988 ",Europe,7,386,1
163,164,Seychelles,"5,016",+4,25 ,,"4,551",+16,440,,"50,751",253,"21,504","217,575","98,835 ",Africa,20,"3,953",5
164,165,Chad,"4,723",,169 ,,"4,353",,201,,281,10,"110,863","6,599","16,800,273 ",Africa,"3,557","99,410",152
165,166,Saint Lucia,"4,419",,69 ,,"4,265",,85,1,"23,977",374,"38,924","211,199","184,300 ",North America,42,"2,671",5
166,167,Gibraltar,"4,291",,94 ,,"4,181",,16,1,"127,394","2,791","226,510","6,724,757","33,683 ",Europe,8,358,0
167,168,Channel Islands,"4,055",+2,86 ,,"3,956",,13,1,"23,152",491,"399,901","2,283,244","175,146 ",Europe,43,"2,037",0
168,169,Sierra Leone,"4,041",,79 ,,"2,857",,"1,105",,499,10,"119,155","14,699","8,106,291 ",Africa,"2,006","102,611",68
169,170,Comoros,"3,822",+2,146 ,,"3,645",+19,31,,"4,322",165,,,"884,361 ",Africa,231,"6,057",
170,171,Barbados,"3,793",,44 ,,"3,692",,57,,"13,186",153,"149,423","519,449","287,657 ",North America,76,"6,538",2
171,172,Guinea-Bissau,"3,713",,66 ,,"3,170",,477,9,"1,852",33,"62,111","30,978","2,005,027 ",Africa,540,"30,379",32
172,173,Burundi,"3,643",,6 ,,773,,"2,864",,299,0.5,"90,019","7,396","12,171,968 ",Africa,"3,341","2,028,661",135
